City,community_id,Community,Latitude,Longitude,Pincode,Tonnage Apr 2025,Trees Saved Apr 2025,CO2 Kgs Averted Apr 2025,Households Participation % Apr 2025,Segregation Compliance % Apr 2025,Tonnage May 2025,Trees Saved May 2025,CO2 Kgs Averted May 2025,Households Participation % May 2025,Segregation Compliance % May 2025,Tonnage Jun 2025,Trees Saved Jun 2025,CO2 Kgs Averted Jun 2025,Households Participation % Jun 2025,Segregation Compliance % Jun 2025,Tonnage Jul 2025,Trees Saved Jul 2025,CO2 Kgs Averted Jul 2025,Households Participation % Jul 2025,Segregation Compliance % Jul 2025,Tonnage Aug 2025,Trees Saved Aug 2025,CO2 Kgs Averted Aug 2025,Households Participation % Aug 2025,Segregation Compliance % Aug 2025,Tonnage Sep 2025,Trees Saved Sep 2025,CO2 Kgs Averted Sep 2025,Households Participation % Sep 2025,Segregation Compliance % Sep 2025,Tonnage Oct 2025,Trees Saved Oct 2025,CO2 Kgs Averted Oct 2025,Households Participation % Oct 2025,Segregation Compliance % Oct 2025
Mumbai,384,C123,19.02038,72.83136,400028,20.95,0.188,46.09,20.83,,13.14,0.118,28.908,16.67,,16.06,0.144,35.332,20.83,,19.85,0.178,43.67,20,,17.35,0.156,38.17,12.5,,13.89,0.125,30.558,16.67,,33.96,0.305,74.712,10,
Mumbai,395,C124,19.01502,72.83465,400028,22.62,0.203,49.764,27.08,,24.13,0.217,53.086,30,,20.15,0.181,44.33,31.25,,36.96,0.332,81.312,36.67,,28.65,0.257,63.03,43.75,,22.11,0.198,48.642,39.58,,49.15,0.441,108.13,45,
Mumbai,382,C125,19.01577,72.83514,400028,17.8,0.16,39.16,12.5,,9.84,0.088,21.648,10,,10.98,0.099,24.156,10,,17.31,0.155,38.082,16,,11.53,0.104,25.366,15,,20.41,0.183,44.902,17.5,,12.09,0.109,26.598,12,
Mumbai,275,C126,19.02031,72.83569,400028,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Mumbai,417,C127,19.01612,72.83602,400028,22.77,0.204,50.094,30,,30.9,0.277,67.98,24,,15.53,0.139,34.166,25,,27.19,0.244,59.818,32,,13.6,0.122,29.92,15,,19.25,0.173,42.35,25,,32.66,0.293,71.852,36,
Mumbai,409,C128,19.01612,72.83602,400028,19.7,0.177,43.34,14.29,,18.14,0.163,39.908,14.29,,19.48,0.175,42.856,14.29,,22.83,0.205,50.226,17.14,,14.86,0.133,32.692,3.57,,0,0,0,0,,15.53,0.139,34.166,2.86,
Mumbai,186,C129,19.01612,72.83602,400028,114.01,1.024,250.822,36.49,,146.68,1.317,322.696,32.26,,117.31,1.053,258.082,36.18,,146.14,1.312,321.508,38.22,,124.15,1.115,273.13,37.82,,135.48,1.216,298.056,37.82,,211.21,1.896,464.662,42.56,
Mumbai,385,C130,19.01594,72.83643,400028,9.94,0.089,21.868,20.83,,8.7,0.078,19.14,20,,8.89,0.08,19.558,12.5,,14.33,0.129,31.526,20,,10.06,0.09,22.132,25,,7.76,0.07,17.072,20.83,,28.03,0.252,61.666,23.33,
Mumbai,471,C131,19.02478,72.83686,400028,36.17,0.325,79.574,42.86,,47.27,0.424,103.994,45.71,,33.28,0.299,73.216,57.14,,50.63,0.455,111.386,51.43,,41.24,0.37,90.728,60.71,,32.2,0.289,70.84,46.43,,44.08,0.396,96.976,54.29,
Mumbai,383,C132,19.0153,72.83724,400028,239.89,2.154,527.758,33.7,,241.65,2.169,531.63,31.88,,238.99,2.146,525.778,33.21,,281.18,2.524,618.596,31.27,,254.38,2.284,559.636,32.86,,183.79,1.65,404.338,29.85,,310.91,2.791,684.002,35.1,
Mumbai,481,C133,19.0159,72.83744,400028,35.01,0.314,77.022,41.67,,27.37,0.246,60.214,24.44,,91.92,0.825,202.224,22.22,,14.1,0.127,31.02,13.33,,20.07,0.18,44.154,19.44,,18.52,0.166,40.744,25,,24.95,0.224,54.89,20,
Mumbai,219,C134,19.01833,72.83752,400028,0,0,0,0,,0,0,0,0,,0,0,0,0,,2.45,0.022,5.39,20,,0,0,0,0,,0,0,0,0,,7.38,0.066,16.236,20,
Mumbai,261,C135,19.02194,72.83783,400028,52.64,0.473,115.808,23.61,,52.34,0.47,115.148,21.11,,31.58,0.284,69.476,23.61,,32.56,0.292,71.632,18.89,,36.71,0.33,80.762,22.22,,26.95,0.242,59.29,19.44,,68.4,0.614,150.48,25.56,
Mumbai,310,C136,19.01996,72.83785,400028,38.93,0.349,85.646,21.25,,39.11,0.351,86.042,19,,26.95,0.242,59.29,20,,51.7,0.464,113.74,23,,37.67,0.338,82.874,18.75,,51.14,0.459,112.508,22.5,,52.22,0.469,114.884,21,
Mumbai,276,C137,19.0253,72.83921,400028,11.16,0.1,24.552,17.5,,15.21,0.137,33.462,20,,21.88,0.196,48.136,22.5,,37.75,0.339,83.05,24,,28.58,0.257,62.876,25,,20.48,0.184,45.056,22.5,,30.55,0.274,67.21,26,
Mumbai,374,C138,19.04033,72.83953,400016,40.41,0.363,88.902,25,,74.83,0.672,164.626,29.33,,46.02,0.413,101.244,28.33,,34.26,0.308,75.372,17.33,,40.07,0.36,88.154,28.33,,36.59,0.328,80.498,18.33,,91.7,0.823,201.74,34.67,
Mumbai,535,C139,19.02331,72.83996,400063,24.26,0.218,53.372,28.85,,21.22,0.191,46.684,18.46,,23.67,0.212,52.074,25,,16.74,0.15,36.828,21.15,,26.36,0.237,57.992,19.35,,41.56,0.373,91.432,22.92,,4.38,0.039,9.636,8.33,
Mumbai,368,C140,19.03055,72.84006,400016,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
